id,created_at,user_query,status,final_response,metadata,content,updated_at
009adbf9-5c14-44cd-9906-e79bf7b82e19,2025-11-28 03:54:43.363787+00,Projetos de lei sobre educação,pending,,{},,2025-12-13 00:29:03.412652+00
00de652f-a513-4b96-90dd-25da4eda61cb,2025-12-12 21:27:07.091957+00,Mostre as proposições sobre educação de 2025,completed,"## 📜 Proposições sobre Educação em 2025

Encontrei **84 proposições** sobre educação tramitando na Câmara. Abaixo, as principais, agrupadas por tema:

---

### Educação Básica e Currículo:

#### PL 26/2025 - Inclusão de ""Processo Legislativo"" em cursos de Direito
- **Ementa:** Esta proposição inclui a matéria ""Processo Legislativo"" nos cursos de Direito.
- **Status:** Em tramitação

#### PL 516/2025 - Inteligência Emocional e PNL no Ensino
- **Ementa:** Inclui inteligência emocional e Programação Neurolinguística (PNL) no currículo do Ensino Fundamental e Médio.
- **Status:** Em tramitação

#### PL 546/2025 - Prevenção ao Uso de Drogas e Violência no Currículo
- **Ementa:** Inclui prevenção ao uso de drogas e violência no currículo escolar.
- **Status:** Em tramitação

#### PL 899/2025 - Lei de Inclusão Digital e Desenvolvimento com IA
- **Ementa:** Institui a Lei de Inclusão Digital e Desenvolvimento com Inteligência Artificial (IA) nas escolas.
- **Status:** Em tramitação

#### PL 909/2025 - Educação Digital na Educação Básica
- **Ementa:** Inclui Educação Digital no currículo da educação básica.
- **Status:** Em tramitação

---

### Educação Inclusiva:

#### PL 657/2025 - Dispensa de Diagnóstico Clínico para Educação Especial
- **Ementa:** Dispensa o diagnóstico clínico para matrícula e atendimento na educação especial.
- **Status:** Em tramitação

#### PL 868/2025 - Ambiente Educacional para Pessoas com TEA
- **Ementa:** Aprimora o ambiente educacional para pessoas com Transtorno do Espectro Autista (TEA).
- **Status:** Em tramitação

#### PL 1040/2025 - Formação de Professores para Alunos com TEA
- **Ementa:** Dispõe sobre a formação de professores para atender alunos com Transtorno do Espectro Autista (TEA).
- **Status:** Em tramitação

#### PL 1411/2025 - Formação Continuada para Alunos Neurodivergentes
- **Ementa:** Dispõe sobre a formação continuada de professores para atender alunos neurodivergentes.
- **Status:** Em tramitação

---

### Gestão e Financiamento:

#### PLP 15/2025 - PNAE Fora do Teto de Gastos
- **Ementa:** Retira os recursos do Programa Nacional de Alimentação Escolar (PNAE) do teto de gastos.
- **Status:** Em tramitação

#### PL 760/2025 - Recomposição Orçamentária de Universidades Federais
- **Ementa:** Dispõe sobre a recomposição anual das dotações orçamentárias das universidades federais.
- **Status:** Em tramitação

#### PL 981/2025 - Destinação de Loterias para Escolas e Professores
- **Ementa:** Destina 1% dos valores arrecadados pelas loterias federais para premiação de escolas e professores.
- **Status:** Em tramitação

---

### Valorização dos Profissionais:

#### PL 517/2025 - Programa Nacional de Valorização dos Professores
- **Ementa:** Institui o Programa Nacional de Valorização dos Professores.
- **Status:** Em tramitação

#### PL 672/2025 - Extensão do Piso Salarial para Professores Temporários
- **Ementa:** Estende o piso salarial nacional aos professores temporários.
- **Status:** Em tramitação

---

### Educação Superior e Técnica:

#### PL 751/2025 - Programa de Incentivo à Adimplência no FIES
- **Ementa:** Institui o Programa de Incentivo à Adimplência no Fundo de Financiamento Estudantil (FIES).
- **Status:** Em tramitação

#### PL 934/2025 - Cotas Femininas em Cursos STEM
- **Ementa:** Reserva cotas femininas em cursos das áreas de Ciência, Tecnologia, Engenharia e Matemática (STEM).
- **Status:** Em tramitação

#### PL 1390/2025 - Prioridade no FIES para Órfãos de Acolhimento
- **Ementa:** Garante prioridade no FIES para órfãos de instituições de acolhimento.
- **Status:** Em tramitação

---

### Educação Indígena e Inclusão:

#### PL 926/2025 - Política Nacional de Melhoria da Escolaridade Indígena
- **Ementa:** Institui a Política Nacional de Melhoria da Escolaridade Indígena.
- **Status:** Em tramitação

#### PL 1052/2025 - Programa de Inclusão Digital em Comunidades Indígenas
- **Ementa:** Cria o Programa de Inclusão Digital em Comunidades Indígenas.
- **Status:** Em tramitação

---

### Outras Iniciativas Relevantes:

#### PL 1309/2025 - Ampliação do Horário das Creches Públicas
- **Ementa:** Dispõe sobre a ampliação do horário de funcionamento das creches públicas.
- **Status:** Em tramitação

#### PL 1542/2025 - Definição do Horário de Início das Atividades Escolares
- **Ementa:** Define o horário de início das atividades escolares.
- **Status:** Em tramitação

#### PL 879/2025 - Flexibilização da Data de Corte para Ingresso Escolar
- **Ementa:** Flexibiliza a data de corte para ingresso no ensino fundamental.
- **Status:** Em tramitação

---

**Fonte:** Câmara dos Deputados",{},,2025-12-13 00:29:03.412652+00
0138fd21-89ce-40fa-9c93-dffd429f7ab8,2025-12-12 06:45:35.380671+00,Quais são os PLs sobre inteligência artificial tramitando em 2024?,pending,,{},,2025-12-13 00:29:03.412652+00
0216943b-1765-4085-acbd-96a51171ae6f,2025-12-04 14:33:59.159014+00,qUAL O ENDEREÇO DO DEPUTADO NIKOLAS FERREIRA?,pending,,{},,2025-12-13 00:29:03.412652+00
033c04c2-0472-4a83-8fc0-1b7ceaa68c1b,2025-11-26 17:42:07.872294+00,quais as principais despesas da deputada tabata amaral?,pending,,{},,2025-12-13 00:29:03.412652+00
04a04d5c-77b8-4ef6-89e5-4eaa4f94eadf,2025-12-09 00:31:05.261952+00,quais os deputados do pt do amazonas?,completed,"Olá!

De acordo com a análise fornecida pela Câmara dos Deputados hoje, 08/12/2025:

Atualmente não há deputados federais do Partido dos Trabalhadores (PT) representando o estado do Amazonas na Câmara dos Deputados. Esta informação reflete a composição da legislatura vigente (2023-2027).

Para futuras consultas ou para mais detalhes sobre representação, por favor, me diga como posso ajudar.",{},,2025-12-13 00:29:03.412652+00
04fae15c-3fa5-41f6-87db-401f9416072c,2025-12-12 05:59:40.326423+00,Quais os deputados de alagoas?,completed,"Olá!

Com base nas informações levantadas, atualmente, Alagoas possui 9 deputados federais distribuídos pelos seguintes partidos:

| Nome | Partido |
|------|---------|
| Alfredo Gaspar | UNIÃO |
| Arthur Lira | PP |
| Daniel Barbosa | PP |
| Delegado Fabio Costa | PP |
| Isnaldo Bulhões Jr. | MDB |
| Luciano Amaral | PSD |
| Marx Beltrão | PP |
| Paulão | PT |
| Rafael Brito | MDB |

Desses, 4 são do PP (Progressistas), 2 do MDB, 1 do UNIÃO, 1 do PSD e 1 do PT.

Se precisar de mais detalhes sobre algum desses deputados ou outras informações, é só perguntar!",{},,2025-12-13 00:29:03.412652+00
05430991-1c8a-43bb-93a1-4790fc9397fe,2025-12-23 13:25:20.344379+00,Liste as PECs apresentadas em 2024,completed,"## 📋 Proposições: PECs apresentadas em 2024

Encontrei **15 Propostas de Emenda à Constituição (PECs)** apresentadas em 2024:

### PEC 6/2024 - Altera regras previdenciárias e constitucionais
- **Data:** 05/03/2024
- **Ementa:** Altera o inciso X do § 22 e insere o § 21-A no art. 40 da Constituição, sobre regras previdenciárias

---

### PEC 14/2024 - Direito aos Cuidados
- **Data:** 19/04/2024
- **Ementa:** Altera o art. 6º da Constituição Federal para positivar o direito aos cuidados no rol de direitos sociais

---

### PEC 17/2024 - Autonomia de Procuradorias
- **Data:** 13/05/2024
- **Ementa:** Acrescenta art. 132-A e altera o art. 168 da Constituição, conferindo autonomia orçamentária às Procuradorias

---

### PEC 20/2024 - Regime Extraordinário para o Rio Grande do Sul
- **Data:** 21/05/2024
- **Ementa:** Institui regime fiscal para enfrentamento de calamidade pública no RS

---

### PEC 21/2024 - Técnicos de Enfermagem
- **Data:** 23/05/2024
- **Ementa:** Altera art. 198 para enquadrar auxiliares de enfermagem na carreira de técnicos

---

### PEC 23/2024 - Integração de Países de Língua Portuguesa
- **Data:** 27/05/2024
- **Ementa:** Adiciona integração de países lusófonos como princípio das relações internacionais

---

### PEC 24/2024 - Alterações Previdenciárias
- **Data:** 24/06/2024
- **Ementa:** Modificações em regras de aposentadoria e previdência

---

### PEC 27/2024 - Fundo de Reparação Racial
- **Data:** 08/07/2024
- **Ementa:** Institui Fundo Nacional de Reparação Econômica e Promoção da Igualdade Racial

---

### PEC 28/2024 - Limitações ao Supremo Tribunal Federal
- **Data:** 10/07/2024
- **Ementa:** Estabelece regras para julgamento de liminares e limita decisões do STF

---

### PEC 29/2024 - Marco Temporal da Vida
- **Data:** 10/07/2024
- **Ementa:** Define concepção e inviolabilidade da vida desde a fecundação

---

### PEC 31/2024 - Conselho Nacional de Mudança Climática
- **Data:** 27/08/2024
- **Ementa:** Cria Conselho Nacional de Mudança Climática e Autoridade Climática Nacional

---

### PEC 34/2024 - Direitos da Primeira Infância
- **Data:** 19/09/2024
- **Ementa:** Inclui primeira infância como beneficiária de direitos constitucionais

---

### PEC 42/2024 - Fiscalização de Agências Reguladoras
- **Data:** 11/11/2024
- **Ementa:** Estabelece competência da Câmara para fiscalizar agências reguladoras

---

### PEC 44/2024 - Recursos para Esporte
- **Data:** 26/11/2024
- **Ementa:** Destina parte de emendas parlamentares para programas esportivos

---

### PEC 45/2024 - Alterações Constitucionais Diversas
- **Data:** 03/12/2024
- **Ementa:** Modificações em artigos constitucionais sobre administração pública e outros temas

---

**Observação:** Deseja detalhes sobre alguma PEC específica?

**Fonte:** Câmara dos Deputados",{},,2025-12-23 13:25:54.275738+00
05583868-aba4-418d-a6c4-179fc03178c1,2025-12-09 03:08:29.897505+00,quem é bolsonaro?,completed,"Olá!

Entendo que você perguntou sobre ""Bolsonaro"". Nos registros atuais da Câmara dos Deputados, encontra-se o deputado Eduardo Bolsonaro. É importante notar que Jair Bolsonaro já foi deputado federal, mas não ocupa o cargo na legislatura atual.

**Eduardo Bolsonaro**

## 👤 Eduardo Bolsonaro
**Partido:** PL | **UF:** SP | **Situação:** Em Exercício

### Dados Pessoais
- **Nome Completo:** Eduardo Nantes Bolsonaro
- **Nascimento:** 10/07/1984 - Resende/RJ
- **Escolaridade:** Superior
- **Condição Eleitoral:** Titular

### Contato
- **Gabinete:** Sala 785, Anexo 3
- **Telefone:** (61) 3215-5785
- **Email:** dep.eduardobolsonaro@camara.leg.br

Se você estava procurando por Jair Bolsonaro, ele não aparece nos resultados porque ele não é deputado federal na atual legislatura (57ª - 2023-2027). Ele foi deputado federal pelo Rio de Janeiro em legislaturas anteriores (1991-2018), e depois foi eleito presidente da República (2019-2022).

Espero que estas informações sejam úteis! Se desejar saber mais sobre Eduardo Bolsonaro ou tiver outra pergunta, por favor, me diga.",{},,2025-12-13 00:29:03.412652+00
05b1f913-025c-44f0-b0f4-5d3a203ce445,2025-12-12 19:44:03.910408+00,Quais as leis sobre pedofilia e qual o partido que mais proposicoes sobre isso?,completed,"## 📜 Proposições sobre Pedofilia e Proteção Infantil em 2025

Encontrei **78 proposições** tramitando na Câmara.

---

### PL 2654/2022 - Emprego de criança e adolescente para realização de crimes

**Ementa:** Tipifica como crime o emprego de criança e adolescente para a realização de delitos (pedofilia)

**Status:** Em tramitação

---

### PL 2279/2023 - Inclui a pedofilia no rol dos crimes hediondos

**Ementa:** Inclui a pedofilia no rol dos crimes hediondos

**Status:** Em tramitação

---

### PL 4407/2025 - Institui o Cadastro Nacional de Pedófilos

**Ementa:** Institui o Cadastro Nacional de Pedófilos

**Status:** Em tramitação

---

### PL 3994/2025 - Monitoramento eletrônico de condenados por crimes sexuais contra crianças

**Ementa:** Estabelece monitoramento eletrônico permanente de condenados por crimes sexuais contra crianças

**Status:** Em tramitação

---

### PL 4069/2025 - Proteção integral de crianças no ambiente digital e combate à pedofilia virtual

**Ementa:** Dispõe sobre proteção integral de crianças no ambiente digital e combate à pedofilia virtual

**Status:** Em tramitação

---

**Temas Principais:**

*   Criminalização e aumento de penas
*   Proteção digital de crianças e adolescentes
*   Combate à adultização precoce
*   Cadastro Nacional de Pedófilos
*   Monitoramento eletrônico de condenados

**Observação:** Os projetos mais recentes (2025) demonstram grande preocupação com a proteção digital e o combate à exploração sexual infantil na internet.

**Fonte:** Câmara dos Deputados

---

## 🏛️ Análise por Partido

Não foi possível identificar qual partido apresentou mais proposições sobre o tema com as informações atuais. Para essa análise detalhada, seria necessário realizar uma consulta adicional para mapear os autores de cada proposição.",{},,2025-12-13 00:29:03.412652+00
